Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.9436954259872437,0.7373059988021851,2.934483766555786,0.12798874080181122
2,0.7679715156555176,0.7958421111106873,150.44435119628906,0.09535864740610123
3,0.6749783158302307,0.8261160850524902,3.223095655441284,0.08298171311616898
4,0.5887822508811951,0.8582103848457336,3.580343008041382,0.060196906328201294
5,0.5220808386802673,0.8800536394119263,3.567270517349243,0.0905766561627388
6,0.48585045337677,0.8922207355499268,3.4847488403320312,0.09142053127288818
7,0.46018174290657043,0.9006514549255371,3.635005235671997,0.09507735818624496
8,0.43301621079444885,0.9125311374664307,3.560093641281128,0.1040787622332573
9,0.4019664227962494,0.9226863384246826,4.056112766265869,0.05513361468911171
10,0.378674179315567,0.9286261796951294,3.321899175643921,0.1428973227739334
11,0.36825135350227356,0.930829644203186,3.9302539825439453,0.0905766561627388
12,0.30966275930404663,0.9545890092849731,3.298842191696167,0.15527425706386566
13,0.266257107257843,0.970492422580719,2.3347737789154053,0.39184248447418213
14,0.24596863985061646,0.975186824798584,2.058102607727051,0.5836849212646484
15,0.23334085941314697,0.9776777029037476,1.6770052909851074,0.6641350388526917
16,0.2264685034751892,0.9808392524719238,1.8873403072357178,0.6317862272262573
17,0.21805129945278168,0.9820846915245056,1.6080700159072876,0.6770745515823364
18,0.2111307680606842,0.9831385612487793,1.8306761980056763,0.6334739923477173
19,0.20613425970077515,0.9831385612487793,3.1532771587371826,0.4281294047832489
20,0.2023392766714096,0.9839049577713013,2.5679171085357666,0.5170182585716248
21,0.1956947296857834,0.9869706630706787,1.7080271244049072,0.6773558259010315
22,0.19326727092266083,0.9860126376152039,2.189786672592163,0.6157524585723877
23,0.1888779103755951,0.9864916801452637,1.9507482051849365,0.6312236189842224
24,0.18648824095726013,0.9869706630706787,2.138615846633911,0.6210970282554626
25,0.18025049567222595,0.9864916801452637,1.8996868133544922,0.6576652526855469
26,0.175658717751503,0.9883119463920593,2.3773791790008545,0.5282700657844543
27,0.17574544250965118,0.9879287481307983,2.6208245754241943,0.5181434750556946
28,0.16636449098587036,0.9893657565116882,2.000765323638916,0.643600583076477
29,0.16485024988651276,0.9906112551689148,1.6485536098480225,0.7046413421630859
30,0.16455738246440887,0.9912818670272827,1.6835280656814575,0.702109694480896
31,0.16163165867328644,0.9915692806243896,1.6850132942199707,0.703797459602356
32,0.16288842260837555,0.9903238415718079,1.6996424198150635,0.700984537601471
33,0.16337576508522034,0.9903238415718079,1.7081403732299805,0.6987341642379761
34,0.16204635798931122,0.990132212638855,1.885455846786499,0.6787623167037964
35,0.1592893898487091,0.9917608499526978,1.7620353698730469,0.6908579468727112
36,0.157122403383255,0.9929105043411255,1.6985280513763428,0.701265811920166
37,0.15943078696727753,0.9903238415718079,1.7078311443328857,0.697327733039856
38,0.1589355319738388,0.9908028244972229,1.6945253610610962,0.703234851360321
39,0.15766264498233795,0.9920482635498047,1.7702351808547974,0.6874824166297913
